uncertainty,IT
0.32508,0.97412
0.088842,0.96327
0.38698,0.97746
0.49428,0.98414
0.61793,0.98748
0.2733,0.97078
0.42779,0.9808
0.14243,0.96661
0.26121,0.97078
0.34963,0.97496
0.3988,0.97579
0.45246,0.97913
0.33568,0.9783
0.51242,0.98247
0.58366,0.98414
0.19289,0.96661
0.27866,0.97078
0.63859,0.98748
0.47934,0.9783
0.43801,0.97663
0.60537,0.97997
0.12495,0.96411
0.24027,0.96912
0.51552,0.97997
0.44007,0.97579
0.36581,0.97412
0.65381,0.98247
0.54008,0.98331
0.73791,0.98748
0.54641,0.9783
0.59795,0.98581
0.83176,0.99249
0.67194,0.98998
0.56229,0.98247
0.59542,0.98414
0.3793,0.97496
0.42493,0.97913
0.77101,0.98915
0.46617,0.9808
0.76504,0.98581
0.3072,0.97412
0.29608,0.96995
0.42392,0.9783
0.58566,0.9808
0.53439,0.97997
0.53308,0.98164
0.32317,0.97496
0.23593,0.96995
0.29688,0.97078
0.361,0.97412
0.78276,0.98664
0.70535,0.98748
0.30356,0.97329
0.43115,0.97913
0.39954,0.97746
0.61081,0.98414
0.41515,0.97496
0.45249,0.97997
0.17932,0.96745
0.73016,0.98831
0.46645,0.97579
0.56065,0.98331
0.79919,0.99249
0.24987,0.97162
0.50346,0.9783
0.65492,0.98247
0.32589,0.97412
0.66643,0.98331
0.40917,0.97663
0.72149,0.98581
0.22319,0.96995
0.22965,0.97245
0.28448,0.97162
0.18026,0.96745
0.18516,0.96661
0.57953,0.98414
0.31093,0.97245
0.42787,0.97746
0.40367,0.97913
0.52095,0.97997
0.65454,0.98164
0.32742,0.97746
0.4984,0.98247
0.25373,0.97162
0.091364,0.96244
0.81059,0.98831
0.21168,0.96912
0.72434,0.98664
0.64402,0.98497
0.23534,0.96912
0.40199,0.97496
0.25664,0.97245
0.15533,0.96494
0.66299,0.98664
0.2839,0.97078
0.083338,0.9616
